City,Total Number of Courts in the City,Average Maximum Norm,Population Estimates,Tennis Player Estimates,Matches Estimates in a week,Minimum Matches in an hour,Maximum Matches in an hour,Minimum Number of Demanded Courts (Singles),Minimum Number of Demanded Courts (Doubles),Maximum Number of Demanded Courts (Singles),Maximum Number of Demanded Courts (Doubles),S/D Ratio for Minimum Singles,S/D Ratio for Minimum Doubles,S/D Ratio for Maximum Singles,S/D Ratio for Maximum Doubles
Mchenry,14,0.2137,,0,0,0,0,0,0,0,0,,,,
Medinah,7,0.3454,,0,0,0,0,0,0,0,0,,,,
Melrose Park,6,0.2844,"24,206",1888,5136,61,122,31,15,61,30,0.1963,0.3926,0.0986,0.1972
Merrillville,31,0.3146,"36,524",2849,7749,92,203,46,23,102,51,0.6721,1.3442,0.3052,0.6105
Midlothian,1,,"13,983",1091,2967,35,0,18,9,0,0,0.0566,0.1133,,
Mokena,9,0.4013,"19,846",1548,4211,50,141,25,13,70,35,0.3591,0.7182,0.1278,0.2556
Montgomery,2,0.2176,"21,310",1662,4521,54,82,27,13,41,20,0.0743,0.1486,0.0488,0.0976
Morris,3,0.2082,"14,359",1120,3046,36,53,18,9,26,13,0.1654,0.3309,0.1135,0.2270
Morton Grove,10,0.2856,"24,712",1928,5243,62,125,31,16,62,31,0.3204,0.6409,0.1603,0.3206
Mount Prospect,24,0.3095,"55,541",4332,11784,140,304,70,35,152,76,0.3422,0.6843,0.1579,0.3159
Mundelein,24,0.2959,"31,560",2462,6696,80,165,40,20,83,41,0.6022,1.2043,0.2908,0.5815
Munster,20,0.2459,"23,761",1853,5041,60,103,30,15,52,26,0.6665,1.3330,0.3873,0.7746
Naperville,67,0.2489,"149,104",11630,31634,377,656,188,94,328,164,0.3558,0.7116,0.2042,0.4085
New Lenox,25,0.3043,"27,477",2143,5830,69,148,35,17,74,37,0.7205,1.4409,0.3382,0.6765
Niles,13,0.2452,"30,345",2367,6438,77,132,38,19,66,33,0.3392,0.6785,0.1977,0.3953
North Aurora,0,,"18,350",1431,3893,46,0,23,12,0,0,0.0000,0.0000,,
North Chicago,8,0.2203,"30,029",2342,6371,76,117,38,19,58,29,0.2110,0.4219,0.1368,0.2737
Northbrook,33,0.2943,"34,587",2698,7338,87,180,44,22,90,45,0.7555,1.5110,0.3667,0.7335
Oak Brook,13,0.2446,"8,086",631,1716,20,35,10,5,17,9,1.2731,2.5462,0.7435,1.4871
Oak Forest,15,0.2601,"26,793",2090,5684,68,123,34,17,62,31,0.4433,0.8866,0.2435,0.4871
Oak Lawn,26,0.2858,"57,013",4447,12096,144,288,72,36,144,72,0.3611,0.7222,0.1805,0.3611
Oak Park,30,0.2380,"53,224",4151,11292,134,224,67,34,112,56,0.4463,0.8927,0.2679,0.5359
Olympia Fields,4,0.2957,,0,0,0,0,0,0,0,0,,,,
Orland Park,26,0.2770,"57,850",4512,12273,146,283,73,37,142,71,0.3559,0.7118,0.1836,0.3671
Oswego,31,,"35,316",2755,7493,89,0,45,22,0,0,0.6951,1.3902,,
Palatine,59,0.3386,"66,321",5173,14071,168,397,84,42,199,99,0.7044,1.4089,0.2972,0.5945
Palos Heights,16,0.2375,"11,819",922,2508,30,50,15,7,25,12,1.0720,2.1440,0.6449,1.2899
Palos Hills,10,,"18,117",1413,3844,46,0,23,11,0,0,0.4371,0.8742,,
Palos Park,1,,,0,0,0,0,0,0,0,0,,,,
Park Forest,7,0.2082,"21,261",1658,4511,54,78,27,13,39,20,0.2607,0.5214,0.1789,0.3578
Park Ridge,36,0.2450,"38,810",3027,8234,98,168,49,25,84,42,0.7345,1.4690,0.4283,0.8566
Peotone,2,0.2860,,0,0,0,0,0,0,0,0,,,,
Plainfield,48,0.3175,"45,398",3541,9632,115,255,57,29,127,64,0.8372,1.6745,0.3768,0.7535
Pleasant Prairie,4,0.1994,"21,392",1669,4539,54,75,27,14,38,19,0.1481,0.2961,0.1061,0.2122
Portage,12,,"38,192",2979,8103,96,0,48,24,0,0,0.2488,0.4976,,
Prospect Heights,9,,"15,691",1224,3329,40,0,20,10,0,0,0.4542,0.9084,,
Remington,2,,,0,0,0,0,0,0,0,0,,,,
Rensselaer,6,,"6,130",478,1301,15,0,8,4,0,0,0.7751,1.5501,,
Richton Park,9,,"12,494",975,2651,32,0,16,8,0,0,0.5704,1.1408,,
River Forest,11,0.3074,"11,597",905,2460,29,63,15,7,32,16,0.7511,1.5022,0.3491,0.6981
River Grove,7,0.2507,"10,531",821,2234,27,47,13,7,23,12,0.5263,1.0527,0.2999,0.5999
Riverdale,8,0.2327,"10,397",811,2206,26,43,13,7,21,11,0.6093,1.2186,0.3741,0.7481
Riverside,12,0.3546,"9,061",707,1922,23,57,11,6,28,14,1.0487,2.0974,0.4225,0.8451
Rolling Meadows,16,0.2964,"23,781",1855,5045,60,125,30,15,62,31,0.5328,1.0655,0.2568,0.5136
Romeoville,20,0.3719,"40,469",3157,8586,102,266,51,26,133,67,0.3913,0.7827,0.1503,0.3007
Roselle,21,0.2165,"22,660",1767,4808,57,87,29,14,43,22,0.7338,1.4677,0.4842,0.9685
Round Lake,3,,"18,625",1453,3951,47,0,24,12,0,0,0.1275,0.2551,,
Round Lake Park,3,,"7,688",600,1631,19,0,10,5,0,0,0.3090,0.6180,,
Saint John,1,,,0,0,0,0,0,0,0,0,,,,
Salem,8,,,0,0,0,0,0,0,0,0,,,,
Sandwich,4,,"7,178",560,1523,18,0,9,5,0,0,0.4413,0.8825,,
Schaumburg,62,0.2625,"77,082",6012,16354,195,358,97,49,179,89,0.6369,1.2738,0.3466,0.6933
Schererville,7,0.2139,"29,589",2308,6278,75,112,37,19,56,28,0.1873,0.3747,0.1251,0.2502
Schiller Park,0,,"11,424",891,2424,29,0,14,7,0,0,0.0000,0.0000,,
Shorewood,4,0.2798,"18,254",1424,3873,46,90,23,12,45,23,0.1735,0.3470,0.0886,0.1772
