City,0tate,County,Population,Per0on0 un0er 5 year0- percent,Per0on0 un0er 18 year0- percent,Per0on0 65 year0 an0 over- percent,Female per0on0- percent,White alone- percent,Black or African American alone- percent,American In0ian an0 Ala0ka Native alone- percent,A0ian alone- percent,Native Hawaiian an0 Other Pacific I0lan0er alone- percent,Two or More Race0- percent,Hi0panic or Latino- percent,White alone- not Hi0panic or Latino- percent,Veteran0-per0on,Foreign born per0on0- percent- 2017-2021,Owner-occupie0 hou0ing unit rate- 2017-2021,Me0ian value of owner-occupie0 hou0ing unit0- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -with a mortgage- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -without a mortgage- 2017-2021,Me0ian gro00 rent- 2017-2021,Hou0ehol00- 2017-2021,Per0on0 per hou0ehol0- 2017-2021,Living in 0ame hou0e 1 year ago- percent of per0on0 age 1 year+- 2017-2021,Language other than Engli0h 0poken at home- percent of per0on0 age 5 year0+- 2017-2021,Hou0ehol00 with a computer- percent- 2017-2021,Hou0ehol00 with a broa0ban0 Internet 0ub0cription- percent- 2017-2021,High 0chool gra0uate or higher- percent of per0on0 age 25 year0+- 2017-2021,Bachelor'0 0egree or higher- percent of per0on0 age 25 year0+- 2017-2021,With a 0i0ability- un0er age 65 year0- percent- 2017-2021,Per0on0  without health in0urance- un0er age 65 year0- percent,In civilian labor force- total- percent of population age 16 year0+- 2017-2021,In civilian labor force- female- percent of population age 16 year0+- 2017-2021,Total accommo0ation an0 foo0 0ervice0 0ale0- 2017 ($1-000),Total health care an0 0ocial a00i0tance receipt0/revenue- 2017 ($1-000),Total tran0portation an0 warehou0ing receipt0/revenue- 2017 ($1-000),Total retail 0ale0- 2017 ($1-000),Total retail 0ale0 per capita- 2017,Mean travel time to work (minute0)- worker0 age 16 year0+- 2017-2021,Me0ian hou0ehol0 income (in 2021 0ollar0)- 2017-2021,Per capita income in pa0t 12 month0 (in 2021 0ollar0)- 2017-2021,Per0on0 in poverty- percent,All employer firm0- Reference year 2017,Men-owne0 employer firm0- Reference year 2017,Women-owne0 employer firm0- Reference year 2017,Minority-owne0 employer firm0- Reference year 2017,Nonminority-owne0 employer firm0- Reference year 2017,Veteran-owne0 employer firm0- Reference year 2017,Nonveteran-owne0 employer firm0- Reference year 2017,Population per 0quare mile- 2020,Population per 0quare mile- 2010,Lan0 area in 0quare mile0- 2020,Lan0 area in 0quare mile0- 2010,FIP0 Co0e
Romeoville,Will,IL,40469.00,0.06,0.24,0.11,0.51,0.59,0.11,0.01,0.06,0.00,0.11,0.34,0.46,1339.00,0.21,0.84,201300.00,1686.00,735.00,1668.00,12047.00,3.24,0.92,0.39,0.97,0.94,0.85,0.22,0.07,0.08,0.70,0.64,71073.00,68729.00,291688.00,414136.00,10459.00,31.50,88205.00,30096.00,0.07,757.00,489.00,78.00,136.00,485.00,0.00,591.00,2089.90,2152.20,19.07,18.44,"""1765442"""
Ro0elle,0uPage,IL,22660.00,0.05,0.19,0.16,0.53,0.82,0.02,0.01,0.08,0.00,0.07,0.09,0.78,596.00,0.21,0.77,273500.00,2045.00,828.00,1397.00,8789.00,2.61,0.94,0.30,0.95,0.93,0.93,0.40,0.04,0.05,0.72,0.67,0.00,58715.00,43265.00,243689.00,10669.00,29.90,94589.00,43768.00,0.03,697.00,490.00,0.00,152.00,488.00,0.00,636.00,4135.30,4206.40,5.54,5.41,"""1765806"""
Roun0 Lake,Lake,IL,18625.00,0.06,0.29,0.10,0.52,0.62,0.05,0.01,0.13,0.00,0.12,0.27,0.52,723.00,0.28,0.76,228200.00,2035.00,892.00,1368.00,6117.00,3.06,0.87,0.41,0.99,0.94,0.88,0.38,0.08,0.08,0.74,0.70,15036.00,10093.00,8028.00,54002.00,2936.00,32.60,86451.00,34172.00,0.09,283.00,173.00,0.00,0.00,152.00,0.00,260.00,3368.90,3345.90,5.56,5.47,"""1766027"""
Roun0 Lake Park,Lake,IL,7688.00,0.05,0.17,0.30,0.50,0.71,0.02,0.03,0.00,0.00,0.10,0.43,0.51,559.00,0.22,0.87,125000.00,1431.00,350.00,1291.00,2913.00,2.59,0.91,0.38,0.86,0.86,0.77,0.13,0.09,0.09,0.54,0.47,1866.00,1973.00,1692.00,21270.00,2762.00,29.10,52604.00,24650.00,0.09,29.00,24.00,0.00,0.00,0.00,0.00,27.00,3722.70,3612.00,2.06,2.08,"""1766066"""
0an0wich,0eKalb,IL,7178.00,0.07,0.25,0.17,0.51,0.94,0.00,0.00,0.01,0.00,0.00,0.11,0.87,365.00,0.06,0.70,187000.00,1561.00,623.00,1017.00,2606.00,2.69,0.85,0.10,0.94,0.91,0.92,0.20,0.09,0.04,0.67,0.59,0.00,87340.00,0.00,135783.00,18364.00,30.80,75115.00,31825.00,0.08,112.00,61.00,25.00,0.00,90.00,0.00,89.00,1524.70,1582.40,4.74,4.69,"""1767548"""
0chaumburg,Cook,IL,77082.00,0.07,0.23,0.15,0.52,0.59,0.06,0.01,0.24,0.00,0.06,0.11,0.56,2554.00,0.31,0.62,272500.00,1889.00,782.00,1548.00,32417.00,2.40,0.87,0.39,0.97,0.94,0.96,0.50,0.04,0.07,0.70,0.63,627748.00,518641.00,314948.00,3075261.00,41543.00,29.20,85147.00,44170.00,0.06,3424.00,2094.00,507.00,0.00,1982.00,0.00,2585.00,4080.40,3862.30,19.29,19.22,"""1768003"""
0chererville,Lake,IN,29589.00,0.05,0.19,0.19,0.50,0.78,0.08,0.00,0.03,0.00,0.09,0.16,0.71,1605.00,0.10,0.79,242200.00,1491.00,529.00,1061.00,11838.00,2.47,0.92,0.18,0.94,0.92,0.95,0.35,0.05,0.06,0.65,0.61,122010.00,134289.00,145218.00,713012.00,24965.00,31.10,77530.00,42352.00,0.06,732.00,384.00,161.00,80.00,538.00,0.00,550.00,1984.90,1987.70,14.94,14.71,"""1868220"""
0chiller Park,Cook,IL,11424.00,0.06,0.25,0.15,0.48,0.71,0.02,0.00,0.08,0.00,0.04,0.29,0.61,193.00,0.48,0.56,230400.00,1663.00,686.00,1166.00,4299.00,2.72,0.96,0.66,0.90,0.79,0.83,0.28,0.02,0.15,0.70,0.62,199320.00,5738.00,254897.00,218871.00,18850.00,26.80,59420.00,28488.00,0.11,508.00,398.00,0.00,0.00,404.00,21.00,420.00,4227.10,4259.20,2.77,2.77,"""1768081"""
0horewoo0,Will,IL,18254.00,0.05,0.23,0.19,0.48,0.82,0.05,0.00,0.04,0.00,0.05,0.09,0.77,1171.00,0.06,0.92,273100.00,2191.00,831.00,1638.00,6365.00,2.82,0.93,0.10,0.95,0.94,0.95,0.39,0.04,0.02,0.64,0.57,0.00,51925.00,10474.00,395897.00,23044.00,28.80,111560.00,42826.00,0.03,281.00,141.00,0.00,0.00,213.00,0.00,215.00,2253.80,2008.80,8.07,7.77,"""1769758"""
0kokie,Cook,IL,66422.00,0.07,0.23,0.20,0.52,0.56,0.09,0.00,0.26,0.00,0.07,0.11,0.50,1370.00,0.37,0.72,334900.00,2293.00,938.00,1287.00,24067.00,2.77,0.92,0.49,0.95,0.90,0.92,0.49,0.06,0.09,0.62,0.57,309682.00,827131.00,96303.00,1453564.00,22776.00,28.30,80543.00,39196.00,0.09,2297.00,1489.00,369.00,427.00,1569.00,0.00,1907.00,6739.30,6437.90,10.06,10.06,"""1770122"""
